                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9307,                 4.5851,                 2.1485,                0.00328,                 0.9403,                0.31995,                0.12227,                 1.5746,                 4.5432,                 1.9039,                0.00062,                0.00062,                0.00062
                      2,                 1.6184,                 3.9158,                  1.802,                      1,                0.09431,                0.44129,                0.18709,                 1.7315,                 4.5116,                 1.9625,              0.0011976,              0.0011976,              0.0011976
                      3,                 1.6165,                 4.0017,                 1.9603,                0.98493,                0.31343,                0.65498,                0.33577,                 1.3932,                 3.9251,                 1.9453,              0.0017119,              0.0017119,              0.0017119
                      4,                 1.6834,                 4.2526,                 2.0054,                0.33929,                0.28358,                 0.1722,                0.06385,                   1.81,                 47.835,                   5.31,               0.001703,               0.001703,               0.001703
                      5,                 1.6367,                 4.0611,                 1.9564,                  0.418,                0.20896,                0.19442,                0.08246,                 1.9062,                 5.3762,                 2.5556,               0.001604,               0.001604,               0.001604
                      6,                 1.7072,                 3.9685,                 2.0498,                0.48422,                 0.4064,                0.44401,                0.21815,                 1.6403,                 4.2481,                 2.1055,               0.001505,               0.001505,               0.001505
                      7,                  1.622,                 3.5827,                 1.8152,                 0.5214,                0.46269,                0.46697,                0.22555,                 1.6116,                 4.2871,                  2.016,               0.001406,               0.001406,               0.001406
                      8,                 1.6086,                 3.3423,                 1.9326,                0.38961,                0.56716,                0.46613,                0.25258,                 1.4798,                 4.5687,                 1.8796,               0.001307,               0.001307,               0.001307
                      9,                 1.5094,                 3.1924,                 1.8336,                0.54089,                0.72097,                0.61911,                0.29334,                 1.4325,                 5.1906,                 1.8701,               0.001208,               0.001208,               0.001208
                     10,                 1.5016,                 2.8857,                 1.8097,                0.82949,                0.80597,                0.87868,                 0.5119,                 1.3397,                 3.2328,                 1.7652,               0.001109,               0.001109,               0.001109
                     11,                 1.6072,                 4.5977,                 1.9314,                0.83951,                0.78077,                0.85796,                0.50788,                 1.4067,                 3.0436,                 1.8483,                0.00101,                0.00101,                0.00101
                     12,                 1.4539,                 4.1294,                 1.7432,                0.85566,                0.79104,                0.89785,                0.51853,                 1.3834,                 3.1185,                  1.883,               0.000911,               0.000911,               0.000911
                     13,                 1.4709,                 4.1092,                 1.8234,                0.84801,                0.86567,                0.89761,                0.53225,                 1.3533,                 3.2383,                 1.7636,               0.000812,               0.000812,               0.000812
                     14,                 1.4738,                 3.8287,                 1.7332,                0.91666,                0.82084,                0.92754,                0.56277,                 1.4147,                  3.027,                 1.7649,               0.000713,               0.000713,               0.000713
                     15,                 1.3986,                 3.7832,                 1.6801,                0.95061,                0.86178,                0.95271,                0.58269,                  1.324,                 2.9437,                 1.6464,               0.000614,               0.000614,               0.000614
                     16,                 1.4128,                 3.7342,                 1.6687,                0.89462,                 0.9403,                 0.9563,                0.59644,                 1.2805,                 2.8405,                 1.6353,               0.000515,               0.000515,               0.000515
                     17,                 1.3487,                  3.576,                 1.6396,                0.94064,                0.94614,                0.96249,                0.60475,                  1.261,                  2.742,                 1.6554,               0.000416,               0.000416,               0.000416
                     18,                 1.2777,                 3.6022,                 1.6629,                0.95786,                 0.9403,                0.96909,                0.62519,                 1.2496,                 2.5929,                  1.654,               0.000317,               0.000317,               0.000317
                     19,                 1.2834,                 3.4794,                 1.6097,                0.93686,                0.95522,                0.97154,                0.63727,                 1.2128,                 2.4868,                  1.621,               0.000218,               0.000218,               0.000218
                     20,                 1.2456,                 3.3848,                 1.5931,                0.99247,                0.95522,                0.97628,                0.64074,                 1.1978,                   2.39,                 1.5945,               0.000119,               0.000119,               0.000119
